,show_id,type,title,director,country/region,date_added,release_year,rating,duration1,duration,listed_in1,listed_in,description
2937,80183329,Movie,Aditi Mittal: Things They Wouldn't Let Me Say,Fazila Allana,India,2017,2017,TV-MA,63 min,63,Stand-Up Comedy,Stand-Up Comedy,"Trailblazing comic Aditi Mittal mixes topical stand-up with frank talk about being single, wearing thongs and the awkwardness of Indian movie ratings."
3187,80213403,Movie,Alien Contact: Outer Space,J. Michael Long,United States,2018,2017,TV-PG,63 min,63,Documentaries,Documentaries,This fact-based account delves into humankind's efforts to gather signals from possible intelligent beings beyond the solar system.
3311,80208684,Movie,Todd Glass: Act Happy,Scott Moran,United States,2018,2018,TV-MA,63 min,63,Stand-Up Comedy,Stand-Up Comedy,Try to keep up as comedian Todd Glass delivers rapid-fire stand-up that bounces from his heart attack to his coming out to how to eat a Kit Kat.
3753,80231156,Movie,Kevin Hart's Guide to Black History,Tom Stern,United States,2019,2019,TV-PG,63 min,63,"Children & Family Movies, Comedies",Children & Family Movies,Kevin Hart highlights the fascinating contributions of black history__ unsung heroes in this entertaining _ and educational _ comedy special.
4165,80187306,Movie,RUSSELL BRAND: RE:BIRTH,Chris Howe,,2018,2018,TV-MA,63 min,63,Stand-Up Comedy,Stand-Up Comedy,Russell Brand gets loquacious in London as he ruminates on the state of the world and marvels over how his life changed the moment he became a father.
4457,81070659,Movie,Ronny Chieng: Asian Comedian Destroys America!,Sebastian DiNatale,United States,2019,2019,TV-MA,63 min,63,Stand-Up Comedy,Stand-Up Comedy,"Ronny Chieng (""The Daily Show,"" ""Crazy Rich Asians"") takes center stage in this stand-up special and riffs on modern American life and more."
4766,81001278,Movie,Sebastian Maniscalco: Why Would You Do That,Joe DeMaio,United States,2019,2016,TV-MA,63 min,63,Stand-Up Comedy,Stand-Up Comedy,"Sebastian Maniscalco delivers an expressive stand-up at the legendary Beacon Theatre on Whole Foods, family nicknames and dodging obnoxious neighbors."
4895,81082125,Movie,Our Planet - Behind The Scenes,,United Kingdom,2019,2019,TV-G,63 min,63,Documentaries,Documentaries,Years spent recording footage of creatures from every corner of the globe is bound to produce a bit of drama. Here's a behind-the-scenes look.
5006,80185166,Movie,Brad Paisley's Comedy Rodeo,Jay Chapman,United States,2017,2017,TV-MA,63 min,63,Stand-Up Comedy,Stand-Up Comedy,"Country music star Brad Paisley hosts a night of music and laughs with comics Nate Bargatze, John Heffron, Jon Reep, Sarah Tiana and Mike E. Winfield."
5161,80106144,Movie,Children of God,John Smithson,United Kingdom,2016,1994,TV-MA,63 min,63,Documentaries,Documentaries,"A former member examines the lingering effects of being raised in the Family, a cult whose disturbing practices include the sexual abuse of children."
62,81054495,Movie,Mo Gilligan: Momentum,Chris Howe,United Kingdom,2019,2019,TV-MA,64 min,64,Stand-Up Comedy,Stand-Up Comedy,"Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club."
186,80131376,Movie,"Rafa_ Bana_, Micha_ Leja Laugh out Loud",,,2016,2016,TV-MA,64 min,64,Stand-Up Comedy,Stand-Up Comedy,Young Polish comedians Rafa_ Bana_ and Micha_ Leja present a high-energy stand-up show at Warsaw's Klub Hybrydy.
192,80192815,Movie,Barbie Dolphin Magic,Conrad Helten,United States,2017,2017,TV-G,64 min,64,Children & Family Movies,Children & Family Movies,"While visiting Ken and exploring a coral reef, Barbie and her sisters make an amazing discovery and meet a mysterious new friend."
217,81030342,Movie,Los Tigres del Norte at Folsom Prison,Tom Donahue,United States,2019,2019,TV-PG,64 min,64,"Documentaries, International Movies, Music & Musicals",Documentaries,The beloved norte_±o band Los Tigres del Norte performs for the inmates of Folsom Prison on the 50th anniversary of Johnny Cash's iconic concert.
582,80117443,Movie,Joe Rogan: Triggered,Anthony Giordano,United States,2016,2016,TV-MA,64 min,64,Stand-Up Comedy,Stand-Up Comedy,"Unleashing his inquisitive, intense comedic style, Rogan explores everything from raising kids and Santa Claus to pot gummies and talking to dolphins."
605,80215419,Movie,Joe Rogan: Strange Times,Anthony Giordano,,2018,2018,TV-MA,64 min,64,Stand-Up Comedy,Stand-Up Comedy,"Outspoken as ever, comedian Joe Rogan takes on current culture, pro wrestling, pot laws, cats, vegans and more in a stand-up special shot in Boston."
620,80046779,Movie,Anjelah Johnson: Not Fancy,Jay Karas,United States,2015,2015,TV-14,64 min,64,Stand-Up Comedy,Stand-Up Comedy,"The actress, comedian and YouTube sensation riffs on everything from nail salons and Gypsies to Mexican moms and super-sleuthing Liam Neeson."
812,81002876,Movie,Nikki Glaser: Bangin_,Nicholaus Goossen,United States,2019,2019,TV-MA,64 min,64,Stand-Up Comedy,Stand-Up Comedy,"Nikki Glaser bares all in a blistering stand-up special about sex, sobriety and getting over her own insecurities. And she won't spare you the details."
1052,80117461,Movie,"Dana Carvey: Straight White Male, 60",Marcus Raboy,United States,2016,2016,TV-MA,64 min,64,Stand-Up Comedy,Stand-Up Comedy,Emmy-winning comedian Dana Carvey blends pitch-perfect takes on big personalities with so-true-it-hurts stories from his life as a dad of millennials.
1203,80239932,Movie,Trevor Noah: Son of Patricia,David Paul Meyer,United States,2018,2018,TV-MA,64 min,64,Stand-Up Comedy,Stand-Up Comedy,"""Daily Show"" host Trevor Noah touches on tacos, runaway snakes, camping, racism immunity and lessons he learned from his mother in this comedy special."
1695,80133663,Movie,Maria Bamford: Old Baby,Jessica Yu,United States,2017,2017,TV-MA,64 min,64,Stand-Up Comedy,Stand-Up Comedy,"Maria Bamford performs a rapid-fire, playful stand-up set for crowds at park benches, bowling alleys and LA theaters in this roving comedy special."
1781,80186940,Movie,Ali Wong: Hard Knock Wife,Jay Karas,United States,2018,2018,TV-MA,64 min,64,Stand-Up Comedy,Stand-Up Comedy,"Two years after the hit ""Baby Cobra,"" Ali Wong is back with another baby bump _ and a torrent of hilarious truths about marriage and motherhood."
3988,80134968,Movie,Katherine Ryan: In Trouble,Colin Dench,United Kingdom,2017,2017,TV-MA,64 min,64,Stand-Up Comedy,Stand-Up Comedy,"Stand-up comic Katherine Ryan reminisces about unusual relationships, life in the hometown she hates and the time she enraged an entire nation."
5237,80227677,Movie,Anthony Jeselnik: Fire in the Maternity Ward,Marcus Raboy,United States,2019,2019,TV-MA,64 min,64,Stand-Up Comedy,Stand-Up Comedy,"Forging his own comedic boundaries, Anthony Jeselnik revels in getting away with saying things others can't in this stand-up special shot in New York."
14,80182596,Movie,Krish Trish and Baltiboy: Best Friends Forever,"Munjal Shroff, Tilak Shetty",,2017,2016,TV-Y,65 min,65,Children & Family Movies,Children & Family Movies,"A cat, monkey and donkey team up to narrate folktales about friendship from Northeast India, and the Indian regions of Bihar and Rajasthan."
16,80182597,Movie,Krish Trish and Baltiboy: Oversmartness Never Pays,Tilak Shetty,,2017,2017,TV-Y7,65 min,65,Children & Family Movies,Children & Family Movies,"A cat, monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan, West Bengal and Maharashtra."
183,80131281,Movie,"Karol Modzelewski, _ukasz __otek_ Lodkowski No Offense",,,2016,2016,TV-MA,65 min,65,Stand-Up Comedy,Stand-Up Comedy,"Charismatic comedy pals Karol Modzelewski and _ukasz ""Lotek"" Lodkowski bring their mischievous brand of humor to Warsaw's Klub Hybrydy."
184,80131374,Movie,"Katarzyna Piasecka, Rafa_ Pacze_ Seriously Funny",,,2016,2016,TV-MA,65 min,65,Stand-Up Comedy,Stand-Up Comedy,Polish comedians Rafa_ Pacze_ and Katarzyna Piasecka hit the stage at Warsaw's Klub Hybrydy for a night of funny anecdotes and sly jokes.
269,80244973,Movie,"Hello, Privilege. It's Me, Chelsea",Alex Stapleton,United States,2019,2019,TV-MA,65 min,65,Documentaries,Documentaries,"In this documentary, Chelsea Handler explores how white privilege impacts American culture _ and the ways it__ benefited her own life and career."
465,81084225,Movie,Grego Rossello: Disculpe las molestias,Juani Libonatti,Argentina,2019,2019,TV-MA,65 min,65,Stand-Up Comedy,Stand-Up Comedy,"Argentine comedian Grego Rossello takes the stage in Buenos Aires to share his takes on modern stardom, airline dining, brotherly love and more."
1229,70230138,Movie,Donald Glover: Weirdo,"Shannon Hartman, Michelle Caputo",United States,2016,2012,NR,65 min,65,Stand-Up Comedy,Stand-Up Comedy,"Fearlessly funny stand-up comic and sitcom star Donald Glover puts on a live show in New York, confessing his love for Cocoa Puffs and Toys ""R"" Us."
1244,80182622,Movie,Krish Trish and Baltiboy: Face Your Fears,Tilak Shetty,India,2017,2017,TV-Y7,65 min,65,Children & Family Movies,Children & Family Movies,"In three tales about fear, a baby elephant gets captured by a circus, two boys enter a haunted house and a parrot faces his fear of flying."
1335,70174733,Movie,Bill Burr: Let It Go,Shannon Hartman,United States,2017,2010,NR,65 min,65,Stand-Up Comedy,Stand-Up Comedy,"The musings of comedian Bill Burr are let loose in this special, which was filmed at the historic Fillmore Auditorium in San Francisco."
1849,80238110,Movie,John Mulaney: Kid Gorgeous at Radio City,Alex Timbers,United States,2018,2018,TV-MA,65 min,65,Stand-Up Comedy,Stand-Up Comedy,"John Mulaney relays stories from his childhood and __NL,_ eviscerates the value of college and laments getting older in this electric comedy special."
1965,80079265,Movie,Halo: The Fall of Reach,Ian Kirby,United States,2016,2015,TV-14,65 min,65,"Action & Adventure, Sci-Fi & Fantasy",Action & Adventure,Witness the origins of Master Chief and the Spartan program as a group of children transform into enhanced soldiers and fight a powerful alien threat.
2174,81041273,Movie,Edoardo Ferrario: Temi Caldi,Francesco Imperato,Italy,2019,2019,TV-MA,65 min,65,Stand-Up Comedy,Stand-Up Comedy,"Italian comedian Edoardo Ferrario riffs on life at 30 and unpacks the peculiarities of global travel, social media and people who like craft beer."
2614,81092781,Movie,Antariksha Ke Rakhwale,Anirban Majumder,,2019,2018,TV-Y7-FV,65 min,65,Children & Family Movies,Children & Family Movies,Space villains have abducted all the superheroes! It__ up to Bheem and his trusty team to save the others.
2618,81092780,Movie,Samudri Lootere,Anirban Majumder,,2019,2018,TV-Y7-FV,65 min,65,Children & Family Movies,Children & Family Movies,The king__ ship has been taken over by seemingly fearless pirates! Can Bheem find the one thing that might scare them away?
2767,81098589,Movie,Aziz Ansari: RIGHT NOW,Spike Jonze,United States,2019,2019,TV-MA,65 min,65,Stand-Up Comedy,Stand-Up Comedy,"In a comedy special directed by Spike Jonze, Aziz Ansari shares deep personal insights and hilarious takes on wokeness, family and the social climate."
3397,80218104,Movie,Sebastian Maniscalco: Stay Hungry,Rik Reinholdtsen,United States,2019,2019,TV-MA,65 min,65,Stand-Up Comedy,Stand-Up Comedy,"Sebastian Maniscalco brings an acerbically unique approach to peacocks on planes, life hacks, rich in-laws and life's annoyances in this comedy special."
3459,80191048,Movie,ReMastered: Massacre at the Stadium,Bent-Jorgen Perlmutt,,2019,2019,TV-MA,65 min,65,"Documentaries, Music & Musicals",Documentaries,"The shocking murder of singer Victor Jara in 1973 turned him into a powerful symbol of Chile's struggle. Decades later, a quest for justice unfolds."
3768,80159028,Movie,Fred Armisen: Standup For Drummers,Lance Bangs,,2018,2018,TV-PG,65 min,65,"Music & Musicals, Stand-Up Comedy",Music & Musicals,"For an audience of drummers, comedian Fred Armisen shares and demonstrates his thoughts on musical genres, drummer quirks, regional accents and more."
3984,80167498,Movie,Chris Rock: Tamborine,Bo Burnham,United States,2018,2018,TV-MA,65 min,65,Stand-Up Comedy,Stand-Up Comedy,"Chris Rock takes the stage in Brooklyn for a comedy special filled with searing observations on fatherhood, infidelity and American politics."
4509,81213152,Movie,Underdogs,T_©o Frank,,2019,2018,TV-MA,65 min,65,"Documentaries, International Movies, Music & Musicals",Documentaries,New filmmaker T_©o Frank travels the U.S. to create this documentary about underground hip-hop artists doing exceptional work outside the music industry.
4588,81060232,Movie,Jack Whitehall: Christmas with My Father,Richard van't Riet,United Kingdom,2019,2019,TV-MA,65 min,65,Stand-Up Comedy,Stand-Up Comedy,"Jack Whitehall invites his notoriously stuffy father onstage in London's West End for a Christmas comedy extravaganza, complete with celebrity guests."
490,80191665,Movie,Rodney Carrington: Here Comes the Truth,Brandon Jones,United States,2017,2017,TV-MA,66 min,66,Stand-Up Comedy,Stand-Up Comedy,"Raunchy country comic and musician Rodney Carrington jokes and sings about life in his 40s, poking fun at sex, relationships and gaining weight."
621,80995687,Movie,Little Singham: Kaal Ki Tabaahi,Prakash Satam,,2019,2019,TV-Y7,66 min,66,"Children & Family Movies, Comedies",Children & Family Movies,Kaal is back _ bigger and badder than ever! Can Little Singham fight the battle of a lifetime to stop the demon__ plans to wreak havoc on earth?
664,80177406,Movie,Patton Oswalt: Annihilation,Bobcat Goldthwait,United States,2017,2017,TV-MA,66 min,66,Stand-Up Comedy,Stand-Up Comedy,"By turns scathing and candid, Patton Oswalt reflects on the glut of comic material in the Trump era and the dark days following a personal tragedy."
829,81168342,Movie,The Cruise,Marek Piwowski,Poland,2019,1970,TV-PG,66 min,66,"Comedies, Cult Movies, International Movies",Comedies,"When the captain of a pleasant cruise ship mistakes a mischievous stowaway the entertainment director, wild and wacky hijinks ensue."
1311,80191804,Movie,DeRay Davis: How to Act Black,Marcus Raboy,United States,2017,2017,TV-MA,66 min,66,Stand-Up Comedy,Stand-Up Comedy,"Dynamic comic DeRay Davis hits the stage like a ball of fire, nailing the finer points of living, dating and handling show business as a black man."
1685,81011598,Movie,Wanda Sykes: Not Normal,Linda Mendoza,United States,2019,2019,TV-MA,66 min,66,Stand-Up Comedy,Stand-Up Comedy,"Wanda Sykes tackles politics, reality TV, racism and the secret she'd take to the grave in this rollicking, no-holds-barred stand-up special."
1738,80233511,Movie,Food on the Go,Mercedes Cordova,"Argentina, Italy",2018,2017,TV-14,66 min,66,"Documentaries, International Movies",Documentaries,"Epicureans and experts trace the migration of Italian cuisine and its evolution in the Americas, delving into the ideas of origin, diaspora and heritage."
